video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ge6ZJ3ngO00&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@ZeihanonGeopolitics,Zeihan on Geopolitics,US Congress Dysfunction: Blocking Aid to Ukraine || Peter Zeihan,227K,22 hours,We are taking a question from the 'Ask Peter' forum today - am I worried about Ukraine's dwindling weapon's supplies in light of ...,2024-01-30 08:58:01.044313
/watch?v=PHE_mKdwxhs&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@JakeBroe,Jake Broe,"Ukraine Military Aid ""Dead on Arrival"" According to Speaker Johnson",242K,1 day,"Russia is not going to be able to capture the Ukrainian city of Avdiivka prior to Putin's re-election in March, denying him any kind of ...",2024-01-30 08:58:10.237112
/watch?v=_vh-BJYneh0&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@UATVEnglish,UATV English,MORE U.S. Aid for Ukraine Will Be Approved Already in 2024,22K,3 weeks,The USA has been the largest donor of financial and military aid to Ukraine since 2022 when Russia tried to conquer the country ...,2024-01-30 08:58:10.244394
/watch?v=FWh7OzmMsyI&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@ATPGeo,ATP Geopolitics,Ukraine War Update NEWS (2024027b): Military Aid,12K,2 days,Here is today's UWU NEWS giving you all the nuggets you need to add to your understanding of events. Discord: ...,2024-01-30 08:58:10.250232
/watch?v=RXQYtuXAjzI&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@NBCNews,NBC News,"U.S. aid to Ukraine being stalled by domestic politics is ‘disturbing,’ says Ukrainian MP",9.8K,4 weeks,"Hours before the new year, Russia launched a record 90 drones into Ukraine. Ukrainian member of Parliament Kira Rudik ...",2024-01-30 08:58:10.263325
/watch?v=65ClGXn-rRY&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@dwnews,DW News,US approves 'final' military aid package to Ukraine | DW News,43K,1 month,"Ukrainian President Volodymyr Zelenskyy on Thursday thanked ""Joe Biden, Congress, and the American people"" for the latest ...",2024-01-30 08:58:10.266958
/watch?v=44lp4_csm4w&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@WION,WION,US Senate Republicans block Ukraine aid bill over immigration row | WION,8.9K,1 month,"The Senate has blocked a supplemental funding bill that included financial aid for Ukraine, Israel, and Taiwan as well as ...",2024-01-30 08:58:10.268962
/watch?v=JEPQRqSF-DM&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@CBSNews,CBS News,Ukraine faces Russian attacks as U.S. aid stalls in Congress,129K,3 weeks,"Ukraine says a Russian attack on two of its largest cities has left four people dead. George Beebe, director of grand strategy at the ...",2024-01-30 08:58:10.277597
/watch?v=4Hzktr89hvQ&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@ForbesBreakingNews,Forbes Breaking News,JUST IN: Pentagon Denies Claims Of 'Illicit Diversion' Of US Aid To Ukraine Amid DODIG Investigation,35K,2 weeks,Pentagon Press Secretary Major General Pat Ryder was asked about an ongoing investigation by the Department of Defense ...,2024-01-30 08:58:10.286444
/watch?v=H0X5xwzipc8&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@CBSChicago,CBS Chicago,Ukraine struggles to defend against Russian invasion as U.S. aid dries up,16K,2 weeks,Ukrainian President Volodymyr Zelenskyy is set to travel to Switzerland to ensure more support from allies in his country's fight ...,2024-01-30 08:58:10.292570
/watch?v=Ozdz3JHx_VM&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@CBSNews,CBS News,Biden announces final Ukraine aid package of 2023,81K,1 month,The Biden administration announced an additional $250 million in military aid for Ukraine on Wednesday. CBS News ...,2024-01-30 08:58:10.298276
/watch?v=wqboJQLrCII&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@Channel4News,Channel 4 News,Ukraine gets ‘final’ $250m US aid - Congress urged to approve new deal ‘quickly’,20K,1 month,"President Zelenskyy said Ukraine would ""always be grateful"" for the continued support - as they battle to hold back Russian forces ...",2024-01-30 08:58:10.300326
/watch?v=sU1EDwQQ-ns&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@CBCNews,CBC News,U.S. sends $250M in military aid to Ukraine,9.1K,1 month,The White House will send up to $250 million in arms and equipment to Ukraine in the U.S.'s final aid package this year to help ...,2024-01-30 08:58:10.312121
/watch?v=Vkamgm8y7CU&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@BBCNews,BBC News,US Republicans block Ukraine and Israel aid bill - BBC News,286K,1 month,US Senate Republicans have blocked a move to pass an aid bill for Ukraine after failing to secure border compromises they ...,2024-01-30 08:58:10.321557
/watch?v=4fgp6De3aB4&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@NBCNews,NBC News,Ukraine asking for more fighters as fight over more aid from U.S. continues,98K,1 month,Ukrainian President Volodymyr Zelenskyy reveals the army needs nearly 500000 people to mobilize for fighting before U.S. aid ...,2024-01-30 08:58:10.323775
/watch?v=Ziiznv8_z5E&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@PBSNewsHour,PBS NewsHour,Former NATO chief on what's at stake as U.S. debates military aid for Ukraine,44K,12 days,Critical U.S. aid to Ukraine is still being held up in ongoing negotiations between Congress and the White House over funding for ...,2024-01-30 08:58:10.330695
/watch?v=Yt1nFeN9fAg&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@UATVEnglish,UATV English,Military aid to Ukraine: why it is a Win-Win for the U.S.,3.3K,3 months,"Since 2022, most of the Russian military, political, and economic power has been directed against the sovereign state of Ukraine.",2024-01-30 08:58:10.338361
/watch?v=uwG0bYYvEUE&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@wsj,The Wall Street Journal,Ukraine War Aid: Where Have U.S. Funds Gone and Why Has Support Stalled? | WSJ,306K,17 hours,The political stalemate in Washington is now impairing Ukraine's efforts to repel Russia's invasion. House Republicans say they ...,2024-01-30 08:58:17.513875
/watch?v=YwXwjG9093E&pp=ygUOVVMgYWlkIFVrcmFpbmU%3D,/@TODAY,TODAY,Biden vows to shut down border if Congress locks immigration deal,267K,19 hours,The White House and a group of senators are close to a bipartisan border security deal that includes tougher border measures ...,2024-01-30 08:58:17.517615
/shorts/X8_-XHROQLQ,/@YahooFinance,Yahoo Finance,Ukraine to receive $800M in military aid from U.S.,8.9K,1 year,"About Yahoo Finance: At Yahoo Finance, you get free stock quotes, up-to-date news, portfolio management resources, ...",2024-01-30 08:58:17.521180
