video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=f7MTCpEw5qA&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@msnbc,MSNBC,Biden: U.S. stands with the people of Israel,69K,3 months,"President Biden delivered remarks addressing the Hamas attack on Israel, saying he expressed his support in a call with ...",2024-01-30 08:54:29.718376
/watch?v=VWIMYyiCM_M&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@cnnnews18,CNN-News18,U.S.Military Aid Arrives In Israel | U.S. Aide In Israel | Israel Vs Palestine Conflict | N18V,34K,3 months,After Biden's Assurance To Continue Aid For Israel US State Secretary Antony Blinken To Travel To Israel Hopes To Engage With ...,2024-01-30 08:54:29.722384
/watch?v=2UbxOcv73Ww&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@WION,WION,Israel-Palestine War: Jordan prepares to send aid to Gaza | WION Originals,53K,3 months,"Jordan sent the aid delivery destined for Gaza. Reportedly, the military plane would fly the aid to the Rafah border crossing with ...",2024-01-30 08:54:29.730772
/watch?v=vjwzeSlGgXw&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@markets,Bloomberg Television,"Israel Latest: Over 1,100 Dead; US Sends Carrier",808K,3 months,"More than 700 Israelis, most of them civilians, were killed in the attacks which erupted outside the Gaza Strip on Saturday morning ...",2024-01-30 08:54:29.741917
/watch?v=ixHjKhbf5XM&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@livenowfox,LiveNOW from FOX,"Israel-Hamas war: US pauses UNRWA funding, staffers accused in Oct. 7 attack | LiveNOW from FOX",231K,3 days,"The US has temporarily paused funding for UNRWA over allegations that some of its members were ""involved"" in the Oct. 7 ...",2024-01-30 08:54:29.748519
/watch?v=bGKIfRC-mCc&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@France24_en,FRANCE 24 English,"US deploying ships closer to Israel, pledges military assistance • FRANCE 24 English",9.2K,3 months,"President Joe Biden ordered US ships and warplanes to move closer to Israel in a show of support on Sunday, while sending ...",2024-01-30 08:54:40.938116
/watch?v=_4LtXqZwul0&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSEveningNews,CBS Evening News,House Republicans pass $14 billion Israel aid bill,41K,2 months,"A Republican-backed bill to provide $14 billion in aid to Israel in its fight against Hamas militants passed the House Wednesday, ...",2024-01-30 08:54:40.941772
/watch?v=VuGaEJb5sN4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@indianexpress,The Indian Express,India Sends Humanitarian Aid To Gaza Amid Ongoing Israel Hamas Conflict,99K,3 months,"Israel Hamas Conflict: India has extended a helping hand to the Palestinian city of Gaza, which has been enduring a siege by ...",2024-01-30 08:54:40.944763
/watch?v=q09GIjrs2b4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@CBSNews,CBS News,Biden administration aids Israel with weapons as Israeli troops reach Hamas' command centers,48K,4 weeks,The Biden administration is bypassing Congress a second time and approving an emergency weapons sale to Israel. Meanwhile ...,2024-01-30 08:54:40.947910
/watch?v=tmb0Ay6o-P0&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@guardiannews,Guardian News,US blocks UN’s call for ‘humanitarian pause’ and corridors into Gaza,95K,3 months,"The US has blocked a resolution calling for Israel to allow humanitarian corridors into the Gaza Strip, a pause in the fighting and ...",2024-01-30 08:54:40.951225
/watch?v=lqYDuY4bQug&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@dwnews,DW News,"US Senate Republicans block military aid for Israel, Ukraine and Taiwan | DW News",72K,1 month,US Republican senators have blocked a bill aimed at providing billions of dollars of military aid to Ukraine and Israel. They insist ...,2024-01-30 08:54:40.954481
/watch?v=WWveBGZeSTU&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@ABCNews,ABC News,"U.S. surging supplies, weapons and air defenses to Israel amid growing concerns of escalation l GMA",11K,3 months,"The U.S.S. Gerald Ford is being deployed off the coast of Israel, along with additional warships in the Mediterranean. SUBSCRIBE ...",2024-01-30 08:54:40.957580
